algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
rand,CoMD,4,0,1,1024,115,34.9691,16
rand,CoMD,5,0,2,1024,115,35.9258,16
rand,CoMD,1,2,0,1024,64,47.7357,20
rand,CoMD,2,1,0,1024,64,45.7657,20
rand,CoMD,3,0,0,1024,64,44.4768,20
rand,CoMD,4,0,1,1024,64,44.7652,20
rand,CoMD,5,0,2,1024,64,46.0998,20
rand,CoMD,1,2,0,1024,80,44.1131,20
rand,CoMD,2,1,0,1024,80,40.5255,20
rand,CoMD,3,0,0,1024,80,38.8125,20
rand,CoMD,4,0,1,1024,80,40.1978,20
rand,CoMD,5,0,2,1024,80,38.9258,20
rand,CoMD,1,2,0,1024,115,42.4337,20
rand,CoMD,2,1,0,1024,115,39.9313,20
rand,CoMD,3,0,0,1024,115,38.8801,20
rand,CoMD,4,0,1,1024,115,37.8426,20
rand,CoMD,5,0,2,1024,115,38.0604,20
rand,CoMD,1,2,0,1024,64,53.9275,24
rand,CoMD,2,1,0,1024,64,52.4502,24
rand,CoMD,3,0,0,1024,64,50.2918,24
rand,CoMD,4,0,1,1024,64,49.5260,24
rand,CoMD,5,0,2,1024,64,49.5521,24
rand,CoMD,1,2,0,1024,80,46.4352,24
rand,CoMD,2,1,0,1024,80,45.1927,24
rand,CoMD,3,0,0,1024,80,44.6231,24
rand,CoMD,4,0,1,1024,80,41.8997,24
rand,CoMD,5,0,2,1024,80,42.3303,24
rand,CoMD,1,2,0,1024,115,43.2905,24
rand,CoMD,2,1,0,1024,115,42.2872,24
rand,CoMD,3,0,0,1024,115,41.4293,24
rand,CoMD,4,0,1,1024,115,40.6688,24
rand,CoMD,5,0,2,1024,115,38.8044,24
spr,CoMD,1,2,0,2048,64,39.1439,16
rand,CoMD,1,2,0,2048,64,40.5884,16
spr,CoMD,2,1,0,2048,64,38.491,16
rand,CoMD,2,1,0,2048,64,39.2194,16
spr,CoMD,3,0,0,2048,64,37.5554,16
rand,CoMD,3,0,0,2048,64,40.017,16
spr,CoMD,4,0,1,2048,64,38.5003,16
rand,CoMD,4,0,1,2048,64,37.9789,16
spr,CoMD,5,0,2,2048,64,38.6449,16
rand,CoMD,5,0,2,2048,64,39.0641,16
spr,CoMD,1,2,0,2048,80,37.4814,16
rand,CoMD,1,2,0,2048,80,38.3383,16
spr,CoMD,2,1,0,2048,80,36.7086,16
rand,CoMD,2,1,0,2048,80,36.4955,16
spr,CoMD,3,0,0,2048,80,35.4763,16
rand,CoMD,3,0,0,2048,80,36.2171,16
spr,CoMD,4,0,1,2048,80,35.1037,16
rand,CoMD,4,0,1,2048,80,37.2124,16
spr,CoMD,5,0,2,2048,80,36.238,16
rand,CoMD,5,0,2,2048,80,36.9616,16
spr,CoMD,1,2,0,2048,115,38.9456,16
rand,CoMD,1,2,0,2048,115,38.724,16
spr,CoMD,2,1,0,2048,115,36.3516,16
rand,CoMD,2,1,0,2048,115,37.5024,16
spr,CoMD,3,0,0,2048,115,37.4595,16
rand,CoMD,3,0,0,2048,115,35.2575,16
spr,CoMD,4,0,1,2048,115,35.8689,16
rand,CoMD,4,0,1,2048,115,35.0739,16
spr,CoMD,5,0,2,2048,115,36.0545,16
rand,CoMD,5,0,2,2048,115,34.8114,16
spr,CoMD,1,2,0,2048,64,46.5589,20
rand,CoMD,1,2,0,2048,64,47.375,20
spr,CoMD,2,1,0,2048,64,44.4378,20
rand,CoMD,2,1,0,2048,64,46.9223,20
spr,CoMD,3,0,0,2048,64,43.8443,20
rand,CoMD,3,0,0,2048,64,44.9305,20
spr,CoMD,4,0,1,2048,64,44.6764,20
rand,CoMD,4,0,1,2048,64,43.7321,20
spr,CoMD,5,0,2,2048,64,43.965,20
rand,CoMD,5,0,2,2048,64,44.5437,20
spr,CoMD,1,2,0,2048,80,40.4719,20
rand,CoMD,1,2,0,2048,80,42.6215,20
spr,CoMD,2,1,0,2048,80,40.2416,20
rand,CoMD,2,1,0,2048,80,41.1283,20
spr,CoMD,3,0,0,2048,80,39.2577,20
rand,CoMD,3,0,0,2048,80,40.307,20
spr,CoMD,4,0,1,2048,80,40.3566,20
spr,CoMD,5,0,2,2048,80,40.187,20
rand,CoMD,5,0,2,2048,80,40.6015,20
spr,CoMD,1,2,0,2048,115,42.4383,20
rand,CoMD,1,2,0,2048,115,42.0331,20
spr,CoMD,2,1,0,2048,115,39.5815,20
rand,CoMD,2,1,0,2048,115,41.782,20
spr,CoMD,3,0,0,2048,115,38.7363,20
rand,CoMD,3,0,0,2048,115,40.707,20
spr,CoMD,4,0,1,2048,115,38.8765,20
rand,CoMD,4,0,1,2048,115,38.9586,20
spr,CoMD,5,0,2,2048,115,38.3115,20
